STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
113,Causeway St @ Canal St,BOSTON,35,4,1,42.36527942,-71.06145329
231,Commercial St. opp. Hull St.,BOSTON,35,4,2,42.36781218,-71.05730405
230,Commercial St. @ Hanover St.,BOSTON,35,4,3,42.36713615,-71.05238129
233,Commercial St @ Battery St,BOSTON,35,4,4,42.36646742,-71.05147893
226,Commercial St @ Fleet St,BOSTON,35,4,5,42.36407588,-71.05108129
225,Atlantic Ave @ Commercial Wharf,BOSTON,35,4,6,42.36217412,-71.0511013
236,Atlantic Ave @ State St,BOSTON,35,4,7,42.35953872,-71.0524137
2116,Purchase St @ Pearl St,BOSTON,35,4,8,42.35454379,-71.05324531
6564,Summer St @ South Station- Red Line entrance,BOSTON,35,4,9,42.35242126,-71.05488219
892,Summer St @ Dorchester Ave,BOSTON,35,4,10,42.35150025,-71.05299867
888,Summer St @ Melcher St,BOSTON,35,4,11,42.35051410,-71.05088274
889,Summer St opp WTC Ave,BOSTON,35,4,12,42.34726199,-71.04414103
244,Summer St @ E St,BOSTON,35,4,13,42.34525349,-71.04067126
246,Summer St @ Pappas Way,BOSTON,35,4,14,42.34420926,-71.03905648
30256,Dry Dock Ave @ Harbor St,BOSTON,35,4,15,42.34462534,-71.03738018
31255,Dry Dock Ave @ Design Center Place,BOSTON,35,4,16,42.34467072,-71.03446963
31257,Northern Ave @ Tide St,BOSTON,35,4,17,42.34517073,-71.03200475
31256,Northern Ave opp Harbor St,BOSTON,35,4,18,42.34650301,-71.03490923
214,Seaport Blvd @ World Trade Center Opp. Seaport Htl,BOSTON,35,4,19,42.34990952,-71.04135567
215,Northern Ave opp Federal Courthouse,BOSTON,35,4,20,42.35348852,-71.04707133
11511,Sleeper St @ Seaport Blvd,BOSTON,35,4,21,42.35364618,-71.04802217
21511,Sleeper St @ Seaport Blvd,BOSTON,35,4,22,42.35323558,-71.0483523
12891,Pearl St @ High St,BOSTON,35,4,23,42.35535282,-71.0541306
11891,Pearl St @ Congress St,BOSTON,35,4,24,42.35748668,-71.05633325
190,Congress St @ State St,BOSTON,35,4,25,42.35877017,-71.05678545
191,Congress St @ North St,BOSTON,35,4,26,42.36036537,-71.05719251
117,Congress St @ Haymarket  Sta,BOSTON,35,4,27,42.36200731,-71.05795182
113,Causeway St @ Canal St,BOSTON,35,4,28,42.36527942,-71.06145329
74617,South Station Silver Line - Inbound,BOSTON,35,742,1,42.35265055,-71.05534774
74616,Courthouse - Inbound,BOSTON,35,742,2,42.35245042,-71.04681383
74615,World Trade Center - Inbound,BOSTON,35,742,3,42.34834151,-71.04262948
74614,Silver Line Way before Manulife Building,BOSTON,35,742,4,42.34713772,-71.03884519
31256,Northern Ave opp Harbor St,BOSTON,35,742,5,42.34650301,-71.03490923
30249,Northern Ave @ Tide St,BOSTON,35,742,6,42.34513676,-71.03192902
30250,21 Dry Dock Ave,BOSTON,35,742,7,42.34472919,-71.03088611
30251,25 Dry Dock Ave,BOSTON,35,742,8,42.34476575,-71.02841861
31259,Black Falcon Corner Stop,BOSTON,35,742,9,42.34444756,-71.02713489
31255,Dry Dock Ave @ Design Center Place,BOSTON,35,742,10,42.34467072,-71.03446963
31257,Northern Ave @ Tide St,BOSTON,35,742,11,42.34517073,-71.03200475
247,Northern Ave @ Harbor St,BOSTON,35,742,12,42.34667826,-71.03524389
74624,Silver Line Way after Manulife Building,BOSTON,35,742,13,42.34714684,-71.03777854
74613,World Trade Center - Outbound,BOSTON,35,742,14,42.34825826,-71.04263332
74612,Courthouse - Outbound,BOSTON,35,742,15,42.35238494,-71.04688863
74611,South Station Silver Line - Outbound,BOSTON,35,742,16,42.35261631,-71.05527658
